totaldue,education_flag,employment_flag,bnk_acc_typ_flag,loan_freq,avg_paybacktime,clients_avg_loanAMT,clients_max_loanAMT,total_loans,ontime_loans,ontime_percentage,pays_late_risk,referred_client,loan_interest2,%loan_int2,age_categ_youth,age_categ_young_adult,age_categ_adult,age_categ_retired,BorrowerReliabilityScore
0,0,1,1,9,0.6343962310509056,0.8477826532897524,0.676031169295277,3,2,0.40410542842803365,1,1,0.969457894603724,0.9802223879148106,0,0,0,0,0.276205278035049
1,0,1,0,5,0.006922005573922307,0.9904187028048103,0.8819565531926467,6,9,0.23243021665643127,1,0,0.2593115261999329,0.9796214757993946,0,0,1,1,0.7327135544458535
1,1,0,1,1,0.8296791753007315,0.9677792544915195,0.04052897065852401,3,6,0.038746783933453544,1,1,0.7201354723446085,0.7104458372677706,1,0,0,1,0.13906256843470888
0,0,0,1,7,0.5169348450808249,0.5511467635649759,0.27785089744329494,2,3,0.373796004957348,1,0,0.6373616567411889,0.8942295186040145,0,0,0,0,0.8361190904529835
0,0,1,1,8,0.4044790690997587,0.6068767161093775,0.3804032500221226,8,6,0.8987171874610318,0,0,0.17321373442630184,0.4297708506554605,0,1,1,1,0.13265768289146662
1,0,0,1,8,0.5796282826273967,0.6177989717113408,0.5168631788227749,6,8,0.32949925169108363,0,0,0.75693658578018,0.3016952357618078,0,1,1,0,0.5559345958172671
0,0,0,1,3,0.14534835884804798,0.8276877398674298,0.1978084355831088,8,9,0.6459791435742263,0,1,0.5856320262787383,0.5172284389730459,1,1,0,1,0.8929015722594564
1,0,0,0,6,0.25359545994219,0.9071906844295256,0.6742973165177433,8,8,0.11784395396103753,0,0,0.4055895044800373,0.26180586595275945,0,0,1,0,0.24458400139043124
1,1,1,0,7,0.7823338735754731,0.5706657138070459,0.4802172381868004,9,5,0.8650065856528555,1,1,0.40347657421507255,0.8911256025892106,1,1,0,1,0.6987208989474347
1,0,0,1,1,0.7198968054857653,0.07304091407820401,0.33510401581851346,8,2,0.05990966130310982,1,1,0.3112826452228473,0.6706169997204641,1,1,0,0,0.2422374522848353
0,1,0,1,4,0.33925798028607,0.4451799175159147,0.8286314179051077,2,9,0.5691021478849893,0,1,0.047970338111318345,0.9856729752261398,0,0,0,1,0.06474843383994922
0,0,1,1,7,0.5093128676558335,0.6434573884700548,0.7319876593157457,3,3,0.6716176351114121,1,1,0.9699520053847365,0.2539279800408164,0,0,0,0,0.5265449704189508
1,1,1,0,5,0.7160458215362535,0.4727893989282669,0.8387991241661628,2,7,0.25636137392933533,0,0,0.4257598092499514,0.1384402203964833,1,1,1,0,0.6859569744904234
1,1,0,1,7,0.1931572022612047,0.5394183605565404,0.7834645877720045,9,4,0.9167623875751154,0,1,0.391050424915397,0.5752259666115521,1,0,1,1,0.5054872704001858
1,1,0,0,8,0.13827776572919637,0.22750715795779697,0.5261416594212548,7,1,0.3566227955010931,0,1,0.6854724450123041,0.7326867216257547,1,1,0,0,0.12404133930513173
1,0,0,1,5,0.8056166278152295,0.7447315989212845,0.6183503151283016,3,4,0.4979417569544977,1,1,0.9647597681574723,0.8859053148246936,1,1,0,1,0.3650401229278484
1,1,1,1,7,0.9704041145458036,0.24539553683740978,0.08293860794391728,5,3,0.8536484356447692,1,1,0.6374900782405907,0.673819843741253,1,1,0,1,0.7655073267221727
1,0,1,0,3,0.958953839972348,0.14307289673137502,0.3792495317800044,2,6,0.954055460431822,1,1,0.9945994087793533,0.3709316746003496,1,1,0,0,0.9521640589031505
0,1,1,1,2,0.8513990046266517,0.3421405502288385,0.9544453203825033,9,5,0.08807433966632239,1,1,0.11310204707253046,0.5604244744092648,0,1,1,0,0.9324305728826134
1,0,1,1,2,0.6288786376419224,0.6474807916968246,0.7915597586391595,5,7,0.05504671119861282,0,1,0.9727074470497379,0.6934276019827877,0,0,1,0,0.026499538356474894
1,1,1,0,1,0.7721669679070282,0.8162989921740397,0.71481456902404,4,2,0.7694873285802343,1,1,0.1329552730080339,0.9908707483945587,1,0,0,0,0.8536815598166223
0,0,0,1,7,0.12344878923217473,0.3366899538493898,0.446794860115197,2,5,0.2991162336181896,0,0,0.9497950176399996,0.7320147280993062,1,0,0,1,0.8664950436268898
1,0,1,1,1,0.8786497212664067,0.8353827380972172,0.3314575139391087,4,9,0.4060263779742974,1,0,0.8055252317281407,0.9462784441312302,1,0,1,1,0.2651761814505398
1,1,0,1,6,0.680406233265997,0.17577262361802604,0.9863467472412433,9,8,0.07436762483673587,1,1,0.685284946026686,0.058002628564771896,0,1,0,0,0.20258401241291557
